HR	NL	SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
prestati	ophouden, stoppen	prenehati	0	1	1	0	1	0	0	0	0	0
stol	_	miza	0	0	0	0	0	0	0	0	0	0
pustošenje	verwoesting, desolaatheid, verwoestheid	NO TRANSLATION	0	1	0	0	0	1	0	1	0	0
očajavati, očaj, beznađe	wanhoop	opustošenje, obup	0	1	1	0	1	1	0	1	0	0
očajnički, beznadan, očajan	wanhopig, wanhopen	obupan, brezupen	0	1	0	0	0	1	0	1	0	0
otpremiti, odaslati	_	pošiljka, poslati	0	0	0	0	0	0	0	0	0	0
očajan, očajnički	ten einde raad, wanhopig	obupan	0	1	0	0	0	0	0	0	0	0
očajanje, očaj, očajavanje	_	obup	0	0	0	0	0	0	0	0	0	0
prezriv, podao	verachtelijk	podel	0	1	1	0	1	0	0	0	0	0
prezirati, mrziti	verachten	prezirati	0	1	1	0	1	0	0	0	0	0
despotski, tiranski, diktatorski	despotisch	despotski	0	1	0	0	0	1	0	0	0	0
despotizam, autoritarizam, despotstvo, diktatura, totalitarizam	despotisme	despotizem	0	1	1	0	1	1	0	1	0	0
desert	_	sladica	0	0	0	0	0	0	0	0	0	0
odredište, destinacija	bestemming	cilj, destinacija	1	0	0	1	0	1	1	1	1	0
predodređen, određen	voorbestemd	namenjen	0	0	0	1	0	0	0	0	0	0
sudbina	_	usoda	0	0	0	0	0	0	0	0	0	0
siromašan, oskudan	arm, behoeftig	brez denarja	0	1	0	0	0	1	0	1	0	0
uništen, razoren, srušen	vernietigd, verwoest	uničen	0	1	1	0	0	1	0	1	0	0
razarač, rušilac, rušitelj	vernietiger, verwoester	uničevalec	0	1	1	0	0	1	0	0	0	0
uništavanje, razaranje	vernietigen, verwoensten	uničiti	0	1	1	0	0	1	0	1	0	0
razaranje, uništenje, uništavanje	verwoesting, vernietiging	uničenje	0	1	1	0	0	0	0	0	0	0
destruktivan, razoran, rušilački	vernietigend, verwoestend	uničujoč	0	1	1	0	1	1	0	0	0	0
odvojiti, odspojiti	_	ločiti	0	0	0	0	0	0	0	0	0	0
odvojen	_	ločen	0	0	0	0	0	0	0	0	0	0
otuđenost, ravnodušnost	onthechting	nepristranskost	0	1	0	0	0	0	0	0	0	0
detalj, pojedinost, podrobnost, potankost, odrediti	_	podrobnost	0	0	0	0	0	0	0	0	0	0
detalji, pojedinosti, podrobnosti, potankosti	_	malenkost, razložiti	0	0	0	0	0	0	0	0	0	0
pritvoriti, uhapsiti, zatvoriti, zatočiti	detineren, vasthouden	pridržati	0	1	0	0	0	0	0	0	0	0
pritvorenik, uhićenik	gedetineerde	pripornik	0	1	1	1	0	1	0	1	0	0
otkriti	opsporen, detecteren	odkriti	1	0	0	0	0	0	0	0	0	0
prepoznatljiv	_	zaznaven	0	0	0	0	0	0	0	0	0	0
otkrivanje, detekcija	opsporing	odkrivanje	1	0	0	0	0	0	0	0	0	0
detektiv, istražitelj	_	detektiv	0	0	0	0	0	0	0	0	0	0
detektor, senzor	_	detektor	0	0	0	0	0	0	0	0	0	0
zadržavanje, pritvor	hechtenis, detentie	pridržanje	0	1	0	0	0	0	0	1	0	0
odvratiti	_	preprečiti, odvrniti	0	0	0	0	0	0	0	0	0	0
deterdžent	_	detergent	0	0	0	0	0	0	0	0	0	0
pogoršati, nazadovati, pogoršati se, pogoršavati, propadati	achteruitgaan, verslechteren	propadati	0	1	0	0	0	1	0	1	0	0
pogoršan	verslechterd	razkrojen	0	1	0	0	1	0	0	1	0	0
pogoršanje, nazadovanje	verslechtering, achteruitgang	propad, razpad	0	1	1	0	1	1	0	1	0	0
odrediv	_	določljiv	0	0	0	0	0	0	0	0	0	0
određen	vast, bepaald, vaststaand	določiti	0	0	0	1	0	0	0	0	0	1
odlučnost, determinacija	vastberadenheid, vastbeslotenheid	odločnost	1	0	0	0	0	0	0	0	0	1
odlučan	vastbesloten	odločen	1	0	0	0	0	0	0	0	0	0
mrziti, prezirati	verafschuwen	sovražiti	0	1	1	0	1	0	0	0	0	0
detonirati	ontploffen, ontsteken	detonirati	0	1	0	0	0	1	0	0	1	0
detonacija	ontploffing, ontsteking	detonacija	0	0	1	0	0	0	0	0	0	0
obilazak	_	obvoznica	0	0	0	0	0	0	0	0	0	0
umanjiti, omalovažavati	afbreuk doen aan	zmanjšati	0	1	1	0	0	0	0	0	0	0
šteta	schade, nadeel	škoda	0	1	0	0	0	0	0	0	0	0
štetan, škodljiv	schadelijk, nadelig	škodljiv	0	1	0	0	0	0	0	0	0	0
krš	detritus	detrit, drobir	0	1	0	0	0	0	0	0	0	0
dvojka	_	dvojka, izenačenje	0	0	0	0	0	0	0	0	0	0
opustošiti, razoriti, razarati, harati, devastirati, poharati, pustošiti	verwoesten, vernielen, vernietigen, kapot maken	uničiti	0	1	1	0	0	1	0	1	0	0
razoran	verwoestende, vernietigende	uničujoče	0	1	1	0	1	1	0	1	0	1
pustošenje, devastacija, razaranje, uništavanje, rušenje	verwoesting, vernieling, vernietiging	uničenje	0	1	1	0	0	1	0	1	1	0
razviti, razvijati, razviti se, razvijati se	ontwikkelen	razviti	1	0	0	1	0	0	0	0	0	0
u razvoju	_	v razvoju	0	0	0	0	0	0	0	0	0	0
razvoj	_	razvoj	0	0	0	0	0	0	0	0	0	0
odstupati, odstupiti	_	odstopiti, oddaljiti	0	0	0	0	0	0	0	0	0	0
odstupajući	_	odstopajoč	0	0	0	0	0	0	0	0	0	0
devijacija	afwijking, deviatie	odstopanje	0	0	0	0	0	0	0	1	0	0
uređaj	_	naprava	0	0	0	0	0	0	0	0	0	0
vrag, đavao, đavo	duivel	hudič	0	1	1	1	1	1	0	1	0	0
vraški, vražji	duivels	vražji	0	1	0	0	1	1	0	0	0	0
podmukao, izopačen	omslachtig	zahrbten	0	1	0	0	0	0	0	0	0	0
smisliti, osmisliti	_	snovati, oporoka	0	0	0	0	0	0	0	0	0	0
lišen	_	brez, lišen	0	0	0	0	0	0	0	0	0	0
degeneracija, nazadovanje, propadanje	devolutie	decentralizacija	0	1	0	0	0	0	0	0	0	0
prenijeti, delegirati	_	prenesti	0	0	0	0	0	0	0	0	0	0
posvetiti	_	posvetiti	0	0	0	0	0	0	0	0	0	0
ljubitelj, obožavatelj, sljedbenik, pristaša	_	občudovalec, ljubitelj	0	0	0	0	0	0	0	0	0	0
pobožan	stichtelijk	pobožen	1	0	0	0	0	0	0	0	0	1
proždirati, proždrijeti	verslinden	požreti	0	1	0	0	0	0	0	0	0	0
pobožan, revan	vroom	zagrizen	1	0	0	1	0	0	1	0	0	1
rosa	_	rosa	0	0	0	0	0	0	0	0	0	0
desni	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
spretnost, vještina, okretnost	behendigheid	spretnost	1	0	0	0	0	0	0	0	0	0
dekstroza	_	dekstroza	0	0	0	0	0	0	0	0	0	0
dijaboličan, vražji, đavolji	duivels	hudičev	0	1	1	0	1	1	0	0	0	0
dijagnoza	diagnose	diagnoza	0	1	0	1	0	1	0	0	0	1
dijagnostički	_	diagnostičen	0	0	0	0	0	0	0	0	0	0
dijagnostika	_	diagnostika	0	0	0	0	0	0	0	0	0	0
dijagram, shema	_	diagram	0	0	0	0	0	0	0	0	0	0
nazvati, brojčanik	_	številčnica, poklicati	0	0	0	0	0	0	0	0	0	0
dijalekt, narječje	_	narečje	0	0	0	0	0	0	0	0	0	0
dijalektika, dijalektički	_	narečno	0	0	0	0	0	0	0	0	0	0
dijalog, razgovor	_	dialog	0	0	0	0	0	0	0	0	0	0
promjer, dijametar	_	premer	0	0	0	0	0	0	0	0	0	0
dijamant	diamant	diamant	1	0	0	0	0	0	1	0	0	0
karo	_	karo	0	0	0	0	0	0	0	0	0	0
pelena	luier	plenica	0	0	0	0	1	0	0	0	0	0
dijafragma	_	prepona, diafragma	0	0	0	0	0	0	0	0	0	0
proljev, dijareja, trčkalica	diarree	driska	0	0	0	0	1	0	0	0	0	0
dnevnik	dagboek	dnevnik	1	0	0	0	0	0	1	0	0	1
kleveta, klevetanje	tirade	obrekovanje, kleveta, klevetanje	0	1	1	0	1	0	0	0	0	0
kocke	_	kocka	0	0	0	0	0	0	0	0	0	0
dihotoman, dvojak	_	dihotomen, dihotomičen	0	0	0	0	0	0	0	0	0	0
dihotomija, račvanje, rašljanje	_	dihotomija	0	0	0	0	0	0	0	0	0	0
diktirati, naložiti, zapovjediti, zapovijedati	_	narekovati, ukazati	0	0	0	0	0	0	0	0	0	0
diktat, naredba, nalog	_	narekovanje, narek, diktat	0	0	0	0	0	0	0	0	0	0
diktator	dictator	diktator	0	1	0	0	0	1	0	0	0	0
diktatorski	dictatoriaal	diktatorski	0	1	1	0	0	0	0	0	0	0
diktatura, totalitarizam, autoritarizam, despotizam	dictatuur	diktatura	0	1	1	1	1	1	0	1	0	0
dikcija	_	izražanje, slog, dikcija	0	0	0	0	0	0	0	0	0	0
rječnik	woordenboek	slovar	1	0	0	0	0	0	0	0	0	1
izreka, naredba	dictum, uitspraak	izrek, razglas	0	0	0	0	0	0	0	0	0	1
poučan, didaktičan	didactisch	didaktičen, poučen	1	0	0	0	0	0	0	0	0	0
umrijeti, umirati	stervende	umreti	0	1	0	0	0	1	0	1	0	0
dijeta, ishrana, prehrana, dijetalni, dijetni	_	prehrana, dieta	0	0	0	0	0	0	0	0	0	0
dijetni, prehramben	dieet-	prehranski	1	0	0	1	0	0	0	0	0	0
razlikovati se	_	razlikovati	0	0	0	0	0	0	0	0	0	0
razlika	_	razlika	0	0	0	0	0	0	0	0	0	0
razlike	_	drugačnost	0	0	0	0	0	0	0	0	0	0
diferencijal, diferencijalan	differentiaal, gedifferentieerd, verschillend	razlika	0	0	0	0	0	0	0	0	0	1
diferencijacija, razlikovanje	_	razlikovanje, diferenciacija	0	0	0	0	0	0	0	0	0	0
različito	anders	drugače	0	0	0	0	0	0	0	0	1	0
različit, drugačiji	_	razlikujoč	0	0	0	0	0	0	0	0	0	0
težak	moeilijk	težek	0	0	0	0	0	1	0	0	0	0
teškoće, tegobe, poteškoće	moeilijkheden	težave	0	1	0	0	0	0	0	1	0	0
teškoća, poteškoća, tegoba	moeilijkheid	težava	0	1	1	0	0	1	0	1	0	0
rasuti, raširiti, raspršiti	_	širiti	0	0	0	0	0	0	0	0	0	0
difuzija, raspršenje, rasipanje, širenje	_	širjenje	0	0	0	0	0	0	0	0	0	0
kopati, iskop	_	izkop, kopati	0	0	0	0	0	0	0	0	0	0
probaviti	_	prebaviti	0	0	0	0	0	0	0	0	0	0
digestija, probava	_	prebava	0	0	0	0	0	0	0	0	0	0
brojka, znamenka	cijfer	števka	0	0	0	0	0	0	0	0	0	1
dostojanstven	waardig	dostojanstven	1	0	0	0	0	0	0	0	0	0
dostojanstvo, dignitet	waardigheid	dostojanstvo	1	0	0	0	0	0	0	0	0	1
zastraniti, zastranjivati	afdwalen, uitweiden	oddaljiti se, zaiti, zastraniti	0	1	0	1	0	0	0	0	0	0
gajba	_	bajta	0	0	0	0	0	0	0	0	0	0
jarak, brazda	dijk	jarek	0	0	0	0	0	1	0	0	0	0
trošan, oronuo	vervallen, bouwvallig	propadajoč	0	1	0	0	1	0	0	1	0	0
dilatacija, rastezanje, širenje	_	dilatacija	0	0	0	0	0	0	0	0	0	0
dilatacija, širenje	_	razširjenje	0	0	0	0	0	0	0	0	0	0
dilema, nedoumica	_	dilema	0	0	0	0	0	0	0	0	0	0
marljivost, ustrajnost, revnost	ijver	marljivost	1	0	0	0	0	0	0	0	0	1
marljiv, ustrajan, revan	_	skrben	0	0	0	0	0	0	0	0	0	0
otapalo, razrjeđivač	_	redčilo	0	0	0	0	0	0	0	0	0	0
razrijediti, razvodniti	verdunnen	razredčiti	0	1	0	0	0	0	0	0	0	0
razrijeđen, razvodnjen	_	razredčen	0	0	0	0	0	0	0	0	0	0
razrjeđivanje, razvodnjavanje	_	redčenje	0	0	0	0	0	0	0	0	0	0
deset centi	_	cent	0	0	0	0	0	0	0	0	0	0
dimenzija	_	dimenzija	0	0	0	0	0	0	0	0	0	0
umanjiti, oslabiti	verminderen	zmanjšati	0	1	0	0	0	0	0	1	0	0
oslabljen	verminderde	zmanjšan	0	1	0	0	0	0	0	0	0	0
umanjenje, smanjenje	_	zmanjšanje	0	0	0	0	0	0	0	0	0	0
deminutiv, umanjenica, sićušan	_	majhen, pomanjševalen, pomanjševalnica	0	0	0	0	0	0	0	0	0	0
lupa, zveket, galama, graja	geraas, geroezemoes, herrie	ropot	0	1	0	0	0	0	0	0	0	0
objedovati	_	večerjati, obedovati	0	0	0	0	0	0	0	0	0	0
restoran, zalogajnica	_	okrepčevalnica	0	0	0	0	0	0	0	0	0	0
večera	avondeten	večerja	1	0	0	0	0	0	0	0	0	0
dinosaur	dinosaurus	dinozaver	0	0	0	0	0	1	0	0	0	0
udubina, ulegnuće	_	vdolbina	0	0	0	0	0	0	0	0	0	0
biskupijski, dijecezanski, episkopski	_	škofijski	0	0	0	0	0	0	0	0	0	0
episkopija, dijeceza, biskupija	_	škofija	0	0	0	0	0	0	0	0	0	0
diorama	_	diorama	0	0	0	0	0	0	0	0	0	0
umočiti, umak	_	pomakanja, omaka	0	0	0	0	0	0	0	0	0	0
diploma	_	diploma	0	0	0	0	0	0	0	0	0	0
diplomacija	diplomatie	diplomacija	1	0	0	1	0	0	0	0	0	1
diplomat	_	diplomat	0	0	0	0	0	0	0	0	0	0
diplomatski	diplomatisch	diplomatski	1	0	0	0	0	0	0	0	0	1
strašan, grozan, koban	schrijnend, ernstig, triest	grozljiv	0	1	0	0	1	1	0	1	1	0
usmjeren, reguliran	_	usmerjen	0	0	0	0	0	0	0	0	0	0
smjer	_	smer	0	0	0	0	0	0	0	0	0	0
direktno, izravno, neposredno	_	neposreden	0	0	0	0	0	0	0	0	0	0
direktor, ravnatelj, upravitelj, voditelj	regisseur, directeur	direktor	1	0	0	0	0	0	0	0	0	1
imenik, adresar, direktorij	_	imenik	0	0	0	0	0	0	0	0	0	0
prljavština	vuil	umazanija	0	1	0	0	1	0	0	0	0	0
prljav, zamazan	vuil	umazan	0	1	0	0	1	0	0	0	0	0
invalidnost, invaliditet, hendikepiranost	onbekwaamheid, handicap	invalidnost	0	1	0	0	0	0	0	1	0	0
onesposobiti, onemogućiti	onbruikbaar maken, uitgeschakelen	onemogočiti, onesposobiti, izklopiti	0	1	0	0	0	1	0	1	0	0
onemogućen, onesposobljen, hendikepiran	invalide, uitgeschakeld	onemogočen, hendikepiran	0	1	0	0	0	1	0	1	0	0
nedostatak	_	pomanjkljivost	0	0	0	0	0	0	0	0	0	0
nezadovoljan	ontevreden	odtujen	0	1	0	0	0	0	0	0	0	0
ne slagati se, proturječiti	het oneens zijn	ne strinjati se	0	1	1	0	0	0	0	0	0	0
neugodan, neljubazan	_	neprijeten, zoprn	0	0	0	0	0	0	0	0	0	0
nesuglasan, neslaganje	oneens	ne ujemajoč, nesoglasen	0	1	1	0	0	0	0	1	0	0
neslaganje	meningsverschil	nesoglasje	0	1	1	0	0	0	0	1	0	0
odbiti	_	zavrniti	0	0	0	0	0	0	0	0	0	0
odbijen, nedopušten	afgekeurd	zavrnjen	0	1	1	0	1	1	0	1	0	0
nestati	verdwijnen	izginiti	0	0	0	0	0	1	0	0	0	0
nestanak	_	izginotje	0	0	0	0	0	0	0	0	0	0
nestajanje, nestajući	_	izginjajoč	0	0	0	0	0	0	0	0	0	0
razočarati	teleurstellen	razočarati	0	1	1	0	1	0	0	1	0	0
razočaran	teleurgesteld	razočaran	0	1	1	0	1	0	0	1	0	0
razočaravajući	teleurstellend	razočarljiv, nezadovoljiv	0	1	0	0	0	0	0	1	0	0
razočaranje	teleurstelling	razočaranje	0	1	0	0	1	0	0	1	0	0
neodobravanje, negodovanje	afkeuring	neodobravanje	0	1	0	0	0	0	0	1	0	0
negodovati	afkeuren	nasprotovati	0	1	1	0	1	1	0	1	0	0
odobreni	afgekeurd	zavrnjen	0	1	1	0	0	0	0	1	0	0
neodobravajući	afkeurend	neodobravajoč	0	1	1	0	1	0	0	1	0	0
razoružati	_	razorožiti	0	0	0	0	0	0	0	0	0	0
nered, zbrka	_	nered, zmešnjava	0	0	0	0	0	0	0	0	0	0
katastrofa, nepogoda, nesreća	ramp	katastrofa	0	1	1	0	1	1	0	1	1	0
katastrofalan, poguban, koban	noodlottig	katastrofalen	0	1	1	0	0	1	0	1	0	0
raspustiti	_	razpustiti	0	0	0	0	0	0	0	0	0	0
nevjerica	_	dvom	0	0	0	0	0	0	0	0	0	0
ne vjerovati, opovrgnuti, odbaciti	niet geloven	ne verjeti	0	1	0	0	0	0	0	0	0	0
isplatiti	_	izplačati	0	0	0	0	0	0	0	0	0	0
isplata	_	izplačilo	0	0	0	0	0	0	0	0	0	0
disk	_	disk	0	0	0	0	0	0	0	0	0	0
odbačen	_	zavržen	0	0	0	0	0	0	0	0	0	0
odbaciti	weggooien, wegwerpen	zavreči, izvržek	0	1	0	0	0	0	0	0	0	0
raspoznati, razaznati, razabrati	_	zaznati, spoznati	0	0	0	0	0	0	0	0	0	0
primjetan, zamjetan, razlučiv	_	zaznaven, razpoznaven	0	0	0	0	0	0	0	0	0	0
uviđavan, pronicljiv	_	zahteven, kritičen, pronicljiv	0	0	0	0	0	0	0	0	0	0
razlikovanje	_	prefinjenost	0	0	0	0	0	0	0	0	0	0
otpustiti	ontlading, ontladen	odpustiti	0	1	0	0	0	0	0	0	0	0
učenik	leerling	učenec	0	0	0	0	0	0	0	0	0	1
disciplina	discipline	disciplina	0	1	0	0	0	1	0	0	0	0
odreći se, opovrgnuti	afwijzen, afstand doen, ontkennen	odreči, zavrniti	0	1	1	0	1	0	0	0	0	1
odricanje	_	zavrnitev	0	0	0	0	0	0	0	0	0	0
otkriti, odati	_	objaviti, razkriti	0	0	0	0	0	0	0	0	0	0
objavljen, otkriven	bekendgemaakt, onthuld	razkrit	0	0	0	0	0	0	0	0	0	1
otkrivanje, objava	_	objava, razkritje	0	0	0	0	0	0	0	0	0	0
obezbojenje	verkleuring	razbarvanje	0	1	0	0	1	0	0	0	0	0
obezbojen	verkleurde	razbarvan	0	1	0	0	1	0	0	1	0	0
nelagodnost, neudobnost, neugodnost	ongemak	nelagodje	0	1	0	0	0	0	0	1	0	0
isključiti, razjediniti	loskoppelen, verbreken	odklopiti	0	1	0	0	0	0	0	1	0	0
isključen	losgekoppeld, verbroken	odklopljen	0	1	0	0	0	0	0	1	0	0
razjedinjenost, razdvojenost	ontkoppeling, verbreking	odklop	0	1	0	0	0	0	0	0	0	0
nezadovoljstvo	ontevredenheid, ontevreden	nezadovoljstvo	0	1	1	0	1	1	0	1	0	0
prekid, obustava, prestanak, obustavljanje	_	prekinitev	0	0	0	0	0	0	0	0	0	0
prestati, prekinuti, obustaviti	staken, stoppen	prekiniti	0	1	0	0	0	0	0	0	0	0
nepovezanost, nepravilnost, diskontinuitet	discontinuïteit	prekinitev	0	1	0	0	1	1	0	1	0	0
diskontinuiran	_	nezvezen, prekinjen	0	0	0	0	0	0	0	0	0	0
razdor, nesloga	onenigheid	nesloga	0	1	1	0	1	0	0	0	0	0
popust	_	popust	0	0	0	0	0	0	0	0	0	0
na popustu, snižen	_	znižan	0	0	0	0	0	0	0	0	0	0
obeshrabriti	ontmoedigen	odvrniti	0	1	0	0	0	1	0	1	0	0
obeshrabren	_	pobit, strt	0	0	0	0	0	0	0	0	0	0
obeshrabrenost	ontmoediging	odvračanje	0	1	0	0	0	0	0	0	0	0
diskurs	_	diskurz	0	0	0	0	0	0	0	0	0	0
otkriti, pronaći	_	odkriti	0	0	0	0	0	0	0	0	0	0
otkriće, pronalazak, izum	ontdekking	odkritje	1	0	0	0	0	0	0	0	0	0
diskreditirati, odbaciti, osporiti, opovrgnuti	diskrediet	zavreči	0	1	0	0	0	0	0	0	0	0
diskretan	discreet, onopvallend	diskreten	1	0	0	1	0	0	0	0	0	0
raskorak, odstupanje, nepodudarnost	_	neskladnost	0	0	0	0	0	0	0	0	0	0
diskretan	_	diskreten	0	0	0	0	0	0	0	0	0	0
diskrecija	discretie, onopvallendheid	diskretnost	1	0	0	1	0	0	0	0	0	1
diskrecijski	discretionaire	diskrecijski	1	0	0	0	0	0	0	0	0	0
diskriminirati	discrimineren	diskriminirati	0	1	1	0	0	0	0	1	0	0
diskriminatoran	discrimineren, discriminerend	diskriminatoren	0	1	0	0	1	0	0	0	0	0
diskriminacija	discriminatie	diskriminacija	0	1	1	0	1	1	0	1	0	0
disk	_	disk	0	0	0	0	0	0	0	0	0	0
raspravljati, diskutirati, raspraviti	_	razpravljati	0	0	0	0	0	0	0	0	0	0
rasprava, diskusija	discussie	diskusija	1	0	0	0	0	0	0	0	0	0
prezir, prezirati	minachting	prezir, prezirati	0	1	1	0	1	0	0	0	0	0
bolest	ziekte	bolezen	0	1	1	0	1	1	0	1	0	0
bolestan	ziek	obolel	0	1	0	0	1	1	0	1	0	0
bestjelesan	losgemaakt, ontlichaamd	breztelesen	0	1	0	0	0	1	0	1	0	0
osloboditi	_	osvoboditi, umakniti	0	0	0	0	0	0	0	0	0	0
oslobođenje	ontkoppeling, ontlichaming	umik	0	1	0	0	0	0	0	0	0	0
unakažen, izobličen	verminkt, misvormd	iznakažen	0	1	1	0	1	1	0	1	0	0
sramota, osramotiti	schande	sramota	0	1	1	0	1	0	0	1	0	0
osramoćen	ten schande gemaakt	osramočen	0	1	1	0	1	0	0	1	0	0
sramotan	schandelijk	sramoten	0	1	1	0	1	0	0	0	0	0
nezadovoljan, razočaran	ontevreden	zlovoljen	0	1	1	0	1	0	0	1	0	0
maska, prerušiti, maskirati	_	našemiti, preobleka	0	0	0	0	0	0	0	0	0	0
prerušen, prikriven	_	prikrit	0	0	0	0	0	0	0	0	0	0
gađenje	walg	gnus, ogorčenje, gnusiti se	0	1	1	0	1	1	0	1	0	0
odvratan, oduran, gadan, ogavan, gnjusan	walgelijk	ogaben, odvraten	0	1	1	0	1	1	0	0	0	0
jelo	_	jed, krožnik	0	0	0	0	0	0	0	0	0	0
demoraliziran, obeshrabren	ontmoedigd	potrt	0	1	0	0	0	0	0	1	0	0
obeshrabrujući, demoralizirajući	ontmoedigend	odvračajoč	0	1	0	0	0	0	0	1	0	0
nepošten, neiskren, nečastan	oneerlijk	nepošten	0	1	1	0	1	0	0	1	0	0
nepoštenje, neiskrenost	oneerlijkheid	nepoštenost	0	1	0	0	1	0	0	0	0	0
sramota, posramiti, osramotiti, obeščastiti	onteren, oneer	sramota, osramotiti	0	1	1	0	1	1	0	1	0	0
razočaranje	ontgoocheling	razočaranje	0	1	1	0	1	0	0	1	0	0
dezinficirati, raskužiti, sterilizirati	_	razkužiti	0	0	0	0	0	0	0	0	0	0
sredstvo za dezinfekciju, dezinficijens	_	razkužilo	0	0	0	0	0	0	0	0	0	0
dezinfekcija, sterilizacija, raskuživanje	ontsmetting, desinfectie	dezinfekcija	1	0	0	0	0	0	0	0	0	0
dezinformacija	disinformatie	dezinformacija	0	1	1	0	0	1	0	0	0	0
neiskren	onoprecht	neodkrit	0	1	0	0	1	0	0	0	0	0
raspasti se, raspadati se, dezintegrirati se	uit elkaar vallen, desintegreren, ontbinden	razpadati	0	1	0	0	1	1	0	0	0	0
dezintegracija, raspadanje	ontbinding	razpad	0	1	0	0	0	0	0	0	0	0
nezainteresiran	belangeloos	nezainteresiran	0	1	0	0	0	0	0	0	0	0
odvojiti, rastaviti	_	razdvojiti	0	0	0	0	0	0	0	0	0	0
rastavljen, razdvojen, odvojen	_	nepovezan, razdvojen	0	0	0	0	0	0	0	0	0	0
rastavni	_	ločen	0	0	0	0	0	0	0	0	0	0
disk	_	disk	0	0	0	0	0	0	0	0	0	0
disketa	_	disketa	0	0	0	0	0	0	0	0	0	0
ne voljeti, odbojnost, antipatija, averzija, nenaklonost, nesklonost	disliken, dislike, hekel hebben aan	ne marati, odpor, antipatija	0	1	1	0	1	0	0	0	0	0
nevoljen	disliked, hekel hebben aan	nevšečen	0	1	1	0	0	0	0	1	0	0
iščašen	uit de kom	dislociran, izpahnjen	0	1	1	0	1	1	0	1	0	0
dislokacija	_	izpah	0	0	0	0	0	0	0	0	0	0
ukloniti	_	premakniti, izriniti	0	0	0	0	0	0	0	0	0	0
tužan, žalostan, nesretan	somber, treurig	mračen	0	1	0	0	1	1	0	1	0	0
užas, užasnuti, potištiti, zaprepastiti, obeshrabriti, rastužiti	ontzetting	zaprepadenost, presenetiti	0	1	1	1	0	1	0	1	1	0
masakriranje	verbrokkeling	razčetverjanje, razkosavanje	0	1	0	0	1	1	0	1	0	0
odbaciti, otpustiti	_	odpustiti, zavrniti	0	0	0	0	0	0	0	0	0	0
otkaz	ontslag	neupoštevanje	0	1	1	0	1	1	0	1	1	0
sjahati, sjašiti, sići, silaziti, spustiti se	_	sestopiti	0	0	0	0	0	0	0	0	0	0
neposlušnost, neposluh	ongehoorzaamheid	neposlušnost	0	1	1	0	1	0	0	0	0	0
neposlušan	ongehoorzaam	neposlušen	0	1	1	0	0	0	0	0	0	0
biti neposlušan	niet gehoorzamen	ne ubogati	0	1	1	0	1	0	0	0	0	0
poremećaj, nered	wanorde, aandoening	nered	0	1	0	0	0	1	0	0	0	0
nesređen, neuredan	wanordelijk	neurejen	0	1	0	0	0	0	0	0	0	0
neuređen, neorganiziran	ongeorganiseerd	neorganiziran	0	1	0	0	0	0	0	0	0	0
podcjenjivati, omalovažiti, omalovažavati, podcijeniti, poniziti, ponižavati	kleinering	omalovaževati	0	1	1	0	1	0	0	1	0	0
podcjenjivački, uvredljiv, omalovažavajući	minachtend	zaničljiv	0	1	1	0	1	0	0	1	0	0
različit, nejednak	_	različen	0	0	0	0	0	0	0	0	0	0
disparitet, nejednakost	ongelijkheid	neskladje	0	1	1	0	1	0	0	1	0	0
bešćutan, bezosjećajan	kalm, onpartijdig	brezčuten	0	1	0	0	0	0	0	1	0	0
otpremiti, otprema	_	pošiljka, poročilo	0	0	0	0	0	0	0	0	0	0
rastjerati, odagnati, rastjerivati, otjerati, protjerati	verdrijven, verjagen	pregnati	0	1	0	0	0	0	0	1	0	0
izdavanje, dijeljenje	_	dovoljenje	0	0	0	0	0	0	0	0	0	0
dijeliti, podijeliti, razdijeliti	_	deliti	0	0	0	0	0	0	0	0	0	0
raspršiti, raširiti	_	razpršiti	0	0	0	0	0	0	0	0	0	0
raspršen	_	razpršen	0	0	0	0	0	0	0	0	0	0
disperzija, raspršivanje, raspršenje	spreiding	razdeljevanje	0	1	0	0	0	0	0	0	0	0
istisnuti, raseliti, prognati, protjerati	verdringen, verplaatsen	izpodriniti	0	1	0	0	0	0	0	0	0	0
raseljen, istisnut, prognan, protjeran	verplaatste	izpodrinjen	0	0	1	0	0	1	0	1	0	0
premještanje	_	prestavitev	0	0	0	0	0	0	0	0	0	0
prikaz, prikazati, zaslon	_	razkazati, prikaz, zaslon	0	0	0	0	0	0	0	0	0	0
nezadovoljan	niet tevreden	razžaljen	0	1	1	0	1	1	0	1	0	0
nezadovoljstvo	misnoegen	nezadovoljstvo	0	1	0	0	1	0	0	0	0	0
uklanjanje	beschikking, verwijdering	odstranjevanje	0	1	0	0	0	0	0	0	0	0
raspolagati, rasporediti	verwijderen, storten	odvreči	0	0	0	0	1	0	0	0	0	0
raspoloživ	geneigd, zich ontdoen van	urejen, razporejen, organiziran	1	0	0	1	0	0	0	0	0	1
raspored, dispozicija	_	narava, uredba	0	0	0	0	0	0	0	0	0	0
pokraden	onteigend	razlaščen	0	1	1	0	0	1	0	1	0	0
opovrgnuti, opovrgavati	_	ovreči	0	0	0	0	0	0	0	0	0	0
spor, prepirka, svađa, sporiti	geschil, dispuut	spor	0	1	1	0	0	0	0	0	0	0
